Year	CPI	Player	Salary in Nominal $	Salary in 2019$
1996	156.9	Cecil Fielder (Det AL)	9237500	15042583
1997	160.5	Albert Belle (Chi AL)	10000000	15919003
1998	163	Gary Sheffield (Fla/LA NL)	14936667	23412996
1999	166.6	Albert Belle (Bal AL)	11949794	18326365
2000	172.2	Kevin Brown (LA NL)	15714286	23315912
2001	177.1	Alex Rodriguez (Tex AL)	22000000	31739130
2002	179.9	Alex Rodriguez (Tex AL)	22000000	31245136
2003	184	Alex Rodriguez (Tex AL)	22000000	30548913
2004	188.9	Alex Rodriguez (NY AL)	21726881	29387073
2005	195.3	Alex Rodriguez (NY AL)	26000000	34014337
2006	201.6	Alex Rodriguez (NY AL)	21680727	27477310
2007	207.342	Jason Giambi (NY AL)	23428571	28870175
2008	215.303	Alex Rodriguez (NY AL)	28000000	33227591
2009	214.537	Alex Rodriguez (NY AL)	33000000	39300913
2010	218.056	Alex Rodriguez (NY AL)	33000000	38666673
2011	224.939	Alex Rodriguez (NY AL)	32000000	36347632
2012	229.594	Alex Rodriguez (NY AL)	30000000	33385019
2013	232.957	Alex Rodriguez (NY AL)	29000000	31806299
2014	236.7	Zack Greinke (LA NL)	28000000	30223912
2015	237	Clayton Kershaw (LA NL)	31000000	33419831
2016	240	Clayton Kershaw (LA NL)	33000000	35131250
2017	245.1	Clayton Kershaw (LA NL)	33000000	34400245
2018	250.1	Mike Trout (LA AL)	34083333	34819239
2019	255.5	Stephen Strasburg (Was NL)	38333333	38333333
