state	county	fips	trump16	trump16_pct	clinton16	clinton16_pct	otherpres16	otherpres16_pct	romney12	romney12_pct	obama12	obama12_pct	otherpres12	otherpres12_pct	senaterace16	houserace16	govrace16	total_population	cvap	voterturnout16_pct	voterturnout12_pct	voterturnout_pct_diff	white_pct	nonwhite_pct	black_pct	hispanic_pct	foreignborn_pct	female_pct	age29andunder_pct	age65andolder_pct	median_hh_inc	clf_unemploy_pct	lesshs_pct	lesscollege_pct	rural_pct	RepWon16
Alabama	Autauga	1001	18172	72.7665879149481	5936	23.7696712449445	865	3.46374084010732	17379	72.6182517131874	6363	26.5878321912084	190	0.793916095604212	Race	Race	No Race	55049	40690	61.3738019169329	58.8154337675104	2.55836814942246	75.6834819887736	24.3165180112264	18.3709059201802	2.57225381024178	1.83836218641574	51.1762248178895	40.0370578938764	13.9784555577758	53099	5.59165726292852	12.4170460154665	75.4072286513465	42.0021623206465	1
Alabama	Baldwin	1003	72883	76.5457123352413	18458	19.3856010082445	3874	4.0686866565142	66016	77.3582694696384	18424	21.5894443272634	898	1.05228620309827	Race	Race	No Race	199510	151770	62.736377413191	56.2285036568492	6.50787375634183	83.1787880306752	16.8212119693248	9.22560272668037	4.36669841110721	3.26951030023558	51.1949275725528	35.4744123101599	18.7148513858954	51365	6.28684322938915	9.97241793263116	70.4528889714604	42.2790991139275	1
Alabama	Barbour	1005	5454	52.0966663482663	4871	46.5278441111854	144	1.37548954054829	5550	48.2231297245634	5912	51.3684942219133	47	0.40837605352333	Race	Race	No Race	26614	20375	51.3815950920245	56.4858895705522	-5.10429447852762	45.8856241076125	54.1143758923875	47.8883294506651	4.30976177951454	2.85939730968663	46.4980837153378	37.6643871646502	16.5288945667694	33956	12.8247382706475	26.2359275575135	87.1322129765595	67.7896347015333	1
Alabama	Bibb	1007	6738	76.4032203197641	1874	21.2495747817213	207	2.34720489851457	6132	72.8266033254157	2202	26.1520190023753	86	1.02137767220903	Race	Race	No Race	22572	17590	50.1364411597499	47.8681068789085	2.26833428084139	74.7651958178274	25.2348041821726	21.2121212121212	2.22399432925749	1.35123161438951	46.4646464646465	37.3294346978558	14.8856990962254	39776	7.14682672001778	19.3015873015873	88	68.3526074623609	1
Alabama	Blount	1009	22859	89.3348444583398	2156	8.42582460528373	573	2.23933093637643	20757	86.4658835291177	2970	12.3719070232442	279	1.16220944763809	Race	Race	No Race	57704	42430	60.306386990337	56.5778930002357	3.72849399010135	87.6577013725218	12.3422986274782	1.55795092194649	8.72729793428532	4.27180091501456	50.4852349923749	37.2400526826563	17.1929155691113	46212	5.95383275261324	19.9685853263073	86.950243210377	89.9515020411012	1
Alabama	Bullock	1011	1140	24.203821656051	3530	74.9469214437367	40	0.849256900212314	1251	23.5062006764374	4061	76.3059000375799	10	0.187899285982713	Race	Race	No Race	10552	8195	57.4740695546065	64.9420378279439	-7.4679682733374	21.683093252464	78.316906747536	75.5022744503412	0.123199393479909	1.51630022744503	45.8017437452616	37.9359363153904	15.1345716451857	29335	13.2585203657523	33.4378835401609	89.744988408564	51.3743815283123	0
Alabama	Butler	1013	4901	56.1268896014659	3726	42.6706367384334	105	1.20247366010078	5087	53.5699241786015	4374	46.06149957877	35	0.368576242628475	Race	Race	No Race	20280	15425	56.6094003241491	61.5623987034036	-4.95299837925446	52.7810650887574	47.2189349112426	43.5157790927022	1.24753451676529	1.39546351084813	53.0473372781065	37.0562130177515	18.1262327416174	34315	9.80482734726874	18.9404258369776	83.9199942648219	71.2321573495011	1
Alabama	Calhoun	1015	32865	68.6632960053485	13242	27.6658866789236	1757	3.6708173157279	30278	65.4560390859762	15511	33.5322221501611	468	1.01173876386277	Race	Race	No Race	115883	88525	54.0683422761932	52.2530358655747	1.81530641061848	72.9977649870991	27.0022350129009	20.3317138838311	3.43622446778216	2.393793740238	51.8980350871137	38.7830829371004	15.9307232294642	41954	11.6818215976554	17.6631367513762	82.3470334727502	33.6968255574672	1
Alabama	Chambers	1017	7843	56.4244604316547	5784	41.6115107913669	273	1.96402877697842	7626	52.1935528026829	6871	47.026213127096	114	0.780234070221066	Race	Race	No Race	34018	26480	52.4924471299094	55.1774924471299	-2.68504531722053	56.7434887412546	43.2565112587454	40.4785701687342	0.435063789758363	0.990652007760597	52.0871303427597	35.8721853136575	18.387324357693	36027	7.489945275928	19.7367317850256	87.515720633856	49.1480344877978	1
Alabama	Cherokee	1019	8953	83.4156340259014	1547	14.4134911022081	233	2.17087487189043	7506	76.7563145515901	2132	21.8018202270171	141	1.44186522139278	Race	Race	No Race	25897	20505	52.3433308949037	47.6908071202146	4.6525237746891	91.8716453643279	8.12835463567208	4.60671120206974	1.56388770900104	0.725952813067151	50.2529250492335	32.7103525504885	20.3228173147469	38925	5.85573104276346	18.7172354766235	86.0383010591634	85.7362730385933	1
Alabama	Chilton	1021	15081	82.1002776416789	2911	15.8473515161413	377	2.05237084217976	13932	79.7846752949261	3397	19.4536708280838	133	0.761653876990036	Race	Race	No Race	43817	31555	58.2126445888132	55.3382982094755	2.87434637933765	80.6102654220964	19.3897345779036	10.0098135426889	7.62489444736061	5.55720382499943	50.7976356208777	38.8342424173266	15.2497888947212	42594	7.93858045646838	19.9024718345384	85.1454514881453	86.7447242398552	1
Alabama	Choctaw	1023	4106	56.3082830499177	3109	42.6357652221613	77	1.05595172792101	4152	52.1084337349398	3786	47.5150602409639	30	0.376506024096386	Race	Race	No Race	13287	10515	69.3485496909177	75.7774607703281	-6.42891107941037	56.2053134642884	43.7946865357116	42.2292466320464	0.55693535034244	0.165575374426131	52.2164521712953	33.4010687137804	20.7496048769474	32622	13.6428137036286	21.14733276884	88.0397967823878	100	1
Alabama	Clarke	1025	7140	54.7924180799632	5749	44.1178727649451	142	1.0897091550917	7470	53.9311241065627	6334	45.729550212981	47	0.339325680456285	Race	Race	No Race	24847	19195	67.8874706954936	72.1594165147174	-4.27194581922376	53.1774459693323	46.8225540306677	45.4944258864249	0.173059121825573	0.466857165855033	52.7588843723588	36.6040165814786	18.0625427617016	32735	17.0833333333333	18.9578192926801	87.8627658324521	75.980335230132	1
Alabama	Clay	1027	5245	79.1817632850241	1237	18.6745169082126	142	2.14371980676328	4817	72.3056139297508	1777	26.6736715700991	68	1.02071450015011	Race	Race	No Race	13483	10360	63.9382239382239	64.3050193050193	-0.366795366795365	80.2640361937254	19.7359638062746	14.7444930653415	3.10761699918416	1.89127048876363	51.5538084995921	34.8438774753393	19.4022101906104	38815	6.59153005464481	25.3864069447385	88.9371162396782	100	1
Alabama	Cleburne	1029	5764	87.4260579402396	684	10.3746397694525	145	2.1993022903079	5272	83.6161776367962	971	15.4004758128469	62	0.98334655035686	Race	Race	No Race	14991	11295	58.3709606020363	55.8211598052236	2.54980079681275	92.7956774064439	7.20432259355613	2.36141685011007	2.32806350476953	1.74771529584417	50.4836235074378	36.1416850110066	18.1642318724568	36316	7.17360114777618	25.815164962377	88.4719274551418	100	1
Alabama	Coffee	1031	15875	76.4433957721385	4221	20.3255164443588	671	3.23108778350267	14666	74.1831057157309	4925	24.9114820435003	179	0.905412240768842	Race	Race	No Race	50991	37955	54.7147938348044	52.0879989461204	2.62679488868397	71.3714184856151	28.6285815143849	17.0049616599008	6.55802004275264	3.73791453393736	50.5599027279324	38.4813006216783	15.7831774234669	47872	6.19426261916268	14.863927890449	76.3332755532443	47.1950828862016	1
