City	Index	Nonfarm employment	Size
Kansas City, MO	64.9	611.2 	L 
Sioux Falls, SD	64.9	155.4 	M 
Chattanooga, TN-GA	64.8	260.3 	M 
Dover-Durham, NH-ME NECTA	64.5	54.8 	S 
Hammond, LA	64.4	46.8 	S 
Panama City, FL	64.3	83.8 	S 
Ann Arbor, MI	63.9	223.5 	M 
Lake Havasu City-Kingman, AZ	63.8	50.3 	S 
Rapid City, SD	63.7	67.6 	S 
Louisville/Jefferson County, KY-IN	63.7	671.9 	L 
Madison, WI	63.6	403.3 	M 
Carson City, NV	63.4	30.6 	S 
San Rafael, CA Metro Div	63.2	116.5 	S 
Sebastian-Vero Beach, FL	62.8	52.0 	S 
Killeen-Temple, TX	62.6	144.0 	S 
Lawrence-Methuen Town-Salem, MA-NH NECTA Division	62.2	83.8 	S 
Northern Virginia, VA	62.1	1,473.8 	L 
Warren-Troy-Farmington Hills, MI Metro Div	62.1	1,250.5 	L 
Waco, TX	62.1	121.0 	S 
Redding, CA	61.9	66.4 	S 
El Paso, TX	61.7	315.2 	M 
Mankato-North Mankato, MN	61.3	58.9 	S 
Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Div	61	2,697.7 	L 
Gainesville, FL	60.8	144.2 	S 
Napa, CA	60.7	71.4 	S 
Brockton-Bridgewater-Easton, MA NECTA Division	60.5	82.1 	S 
Bremerton-Silverdale, WA	60.5	91.8 	S 
Philadelphia City, PA	60.3	715.5 	L 
Middlesex-Monmouth-Ocean, NJ	60.3	906.0 	L 
Springfield, MO	60.1	214.1 	M 
Eugene, OR	60	161.2 	M 
Mount Vernon-Anacortes, WA	59.8	49.9 	S 
Tuscaloosa, AL	59.8	108.8 	S 
Lexington-Fayette, KY	59.5	281.3 	M 
Worcester, MA-CT NECTA	59	289.6 	M 
Lancaster, PA	58.9	254.1 	M 
Gettysburg, PA	58.6	35.7 	S 
Hattiesburg, MS	58.5	65.8 	S 
Leominster-Gardner, MA NECTA	58.1	53.3 	S 
Minneapolis-St. Paul-Bloomington, MN-WI	58	1,990.0 	L 
Barnstable Town, MA NECTA	57.9	101.4 	S 
Los Angeles-Long Beach-Glendale, CA Metro Div	56.8	4,487.4 	L 
Morgantown, WV	56.7	72.7 	S 
Flagstaff, AZ	56.7	67.1 	S 
Oklahoma City, OK	56.6	641.4 	L 
Sherman-Denison, TX	56.5	47.1 	S 
Iowa City, IA	56.3	101.9 	S 
Naples-Immokalee-Marco Island, FL	56.1	143.9 	S 
Longview, WA	55.9	40.0 	S 
St. Cloud, MN	55.5	110.1 	S 
Evansville, IN-KY	55.3	162.7 	M 
Grand Junction, CO	55	63.3 	S 
Santa Maria-Santa Barbara, CA	54.8	184.4 	M 
Knoxville, TN	54.1	398.2 	M 
Portland-South Portland, ME NECTA	53.8	205.7 	M 
Missoula, MT	53.2	60.8 	S 
Baltimore City, MD	53.1	377.1 	M 
Hinesville, GA	53.1	20.4 	S 
