ReleasedDate	Released	Title	Genre	CreativeType	ProductionBudget	MaximumTheaters	Opening WeekendRevenue	DomesticBox Office	InternationalBox Office	WorldwideBox Office	Genre plotted
Sep 9, 2011	2011	Contagion	Thriller/Suspense	Science Fiction	60000000.00	3222	22403596.00	75658097.00	61893497.00	137551594.00	Thriller/Suspense
Dec 23, 2011	2011	We Bought a Zoo	Drama	Dramatization	50000000.00	3170	9360434.00	75624550.00	43104523.00	118729073.00	Drama
Sep 23, 2011	2011	Moneyball	Drama	Dramatization	50000000.00	3018	19501302.00	75605492.00	35695343.00	111300835.00	Drama
Nov 11, 2011	2011	Jack and Jill	Comedy	Contemporary Fiction	79000000.00	3438	25003575.00	74158157.00	76361060.00	150519217.00	Comedy
Nov 23, 2011	2011	Hugo	Adventure	Fantasy	180000000.00	2608	11364505.00	73864507.00	106183277.00	180047784.00	Adventure
Feb 11, 2011	2011	Justin Bieber: Never Say Never	Concert/Performance	Factual	13000000.00	3118	29514054.00	73013910.00	26020215.00	99034125.00	Concert/Musical
Sep 23, 2011	2011	Dolphin Tale	Drama	Dramatization	37000000.00	3515	19152401.00	72286779.00	23781945.00	96068724.00	Drama
Jan 21, 2011	2011	No Strings Attached	Romantic Comedy	Contemporary Fiction	25000000.00	3050	19652921.00	70662220.00	78565858.00	149228078.00	Comedy
Jun 17, 2011	2011	Mr. Poppers's Penguins	Adventure	Kids Fiction	55000000.00	3342	18445355.00	68224452.00	121400000.00	189624452.00	Adventure
Nov 18, 2011	2011	Happy Feet Two	Adventure	Kids Fiction	135000000.00	3611	21237068.00	64006466.00	93950000.00	157956466.00	Adventure
Feb 18, 2011	2011	Unknown	Thriller/Suspense	Contemporary Fiction	40000000.00	3043	21856389.00	63686397.00	72436686.00	136123083.00	Thriller/Suspense
Mar 4, 2011	2011	The Adjustment Bureau	Thriller/Suspense	Science Fiction	50200000.00	2847	21157730.00	62495645.00	64435680.00	126931325.00	Thriller/Suspense
Apr 22, 2011	2011	Water for Elephants	Drama	Historical Fiction	38000000.00	2820	16842353.00	58709717.00	58100000.00	116809717.00	Drama
Mar 18, 2011	2011	The Lincoln Lawyer	Thriller/Suspense	Contemporary Fiction	40000000.00	2707	13206453.00	58009200.00	29135886.00	87145086.00	Thriller/Suspense
May 20, 2011	2011	Midnight in Paris	Romantic Comedy	Fantasy	30000000.00	1038	599003.00	56816662.00	105686112.00	162502774.00	Comedy
Jul 22, 2011	2011	Friends with Benefits	Romantic Comedy	Contemporary Fiction	35000000.00	2926	18622150.00	55802754.00	90793137.00	146595891.00	Comedy
Feb 18, 2011	2011	I am Number Four	Adventure	Science Fiction	50000000.00	3156	19449893.00	55100437.00	91094722.00	146195159.00	Adventure
Apr 1, 2011	2011	Source Code	Thriller/Suspense	Science Fiction	32000000.00	2971	14812094.00	54712227.00	85716272.00	140428499.00	Thriller/Suspense
Dec 9, 2011	2011	New Year’s Eve	Romantic Comedy	Contemporary Fiction	26000000.00	3505	13019180.00	54544638.00	92305635.00	146850273.00	Comedy
Apr 1, 2011	2011	Insidious	Horror	Contemporary Fiction	1500000.00	2419	13271464.00	54009150.00	45861736.00	99870886.00	Horror
Apr 22, 2011	2011	Madea's Big Happy Family	Drama	Contemporary Fiction	25000000.00	2288	25068677.00	53345287.00	815531.00	54160818.00	Drama
Mar 25, 2011	2011	Diary of a Wimpy Kid: Rodrick Rules	Adventure	Contemporary Fiction	18000000.00	3169	23751502.00	52698535.00	20996659.00	73695194.00	Adventure
Oct 14, 2011	2011	Footloose	Musical	Contemporary Fiction	24000000.00	3555	15556113.00	51802742.00	11187092.00	62989834.00	Concert/Musical
Jan 14, 2011	2011	The Dilemma	Comedy	Contemporary Fiction	70000000.00	2943	17816230.00	48475290.00	22071575.00	70546865.00	Comedy
Nov 23, 2011	2011	Arthur Christmas	Adventure	Kids Fiction	85000000.00	3376	12068931.00	46462469.00	103254655.00	149717124.00	Adventure
Feb 25, 2011	2011	Hall Pass	Comedy	Contemporary Fiction	68000000.00	2950	13535374.00	45060734.00	42112741.00	87173475.00	Comedy
Nov 25, 2011	2011	The Artist	Drama	Historical Fiction	16000000.00	1756	204878.00	44667095.00	83589617.00	128256712.00	Drama
Apr 8, 2011	2011	Soul Surfer	Drama	Dramatization	18000000.00	2240	10601862.00	43853424.00	3305228.00	47158652.00	Drama
Aug 12, 2011	2011	Final Destination 5	Horror	Fantasy	40000000.00	3155	18031396.00	42587643.00	112423522.00	155011165.00	Horror
Oct 7, 2011	2011	The Ides of March	Drama	Contemporary Fiction	23000000.00	2199	10470143.00	40962534.00	36773391.00	77735925.00	Drama
Apr 8, 2011	2011	Hanna	Drama	Contemporary Fiction	30000000.00	2545	12370549.00	40259119.00	25084575.00	65343694.00	Drama
May 6, 2011	2011	Something Borrowed	Romantic Comedy	Contemporary Fiction	35000000.00	2904	13945368.00	39046489.00	26037627.00	65084116.00	Comedy
Aug 19, 2011	2011	Spy Kids: All the Time in the World	Adventure	Kids Fiction	27000000.00	3305	11644672.00	38536376.00	42144807.00	80681183.00	Adventure
Apr 15, 2011	2011	Scream 4	Horror	Contemporary Fiction	40000000.00	3314	18692090.00	38180928.00	57808662.00	95989590.00	Horror
Feb 18, 2011	2011	Big Mommas: Like Father, Like Son	Comedy	Contemporary Fiction	32000000.00	2821	16300803.00	37915414.00	44417036.00	82332450.00	Comedy
Mar 11, 2011	2011	Red Riding Hood	Thriller/Suspense	Fantasy	42000000.00	3030	14005335.00	37662162.00	54016280.00	91678442.00	Thriller/Suspense
Oct 28, 2011	2011	In Time	Thriller/Suspense	Science Fiction	35000000.00	3127	12050368.00	37553932.00	127550020.00	165103952.00	Thriller/Suspense
Mar 18, 2011	2011	Paul	Comedy	Science Fiction	40000000.00	2806	13043310.00	37412945.00	63749161.00	101162106.00	Comedy
Nov 9, 2011	2011	J. Edgar	Drama	Dramatization	35000000.00	1985	11217324.00	37306030.00	47300000.00	84606030.00	Drama
Feb 4, 2011	2011	The Roommate	Thriller/Suspense	Contemporary Fiction	16000000.00	2534	15002635.00	37300107.00	15245600.00	52545707.00	Thriller/Suspense
May 6, 2011	2011	Jumping the Broom	Romantic Comedy	Contemporary Fiction	7000000.00	2035	15215487.00	37295394.00	863207.00	38158601.00	Comedy
Aug 5, 2011	2011	The Change-Up	Comedy	Contemporary Fiction	52000000.00	2913	13531115.00	37243418.00	38753649.00	75997067.00	Comedy
Aug 12, 2011	2011	30 Minutes or Less	Comedy	Contemporary Fiction	28000000.00	2888	13330118.00	37053924.00	3912792.00	40966716.00	Comedy
Aug 26, 2011	2011	Colombiana	Thriller/Suspense	Contemporary Fiction	40000000.00	2614	10408176.00	36665854.00	35629408.00	72295262.00	Thriller/Suspense
Mar 25, 2011	2011	Sucker Punch	Action	Fantasy	75000000.00	3033	19058199.00	36392502.00	53365887.00	89758389.00	Action
Jul 1, 2011	2011	Larry Crowne	Romantic Comedy	Contemporary Fiction	30000000.00	2976	13096065.00	35608245.00	25840890.00	61449135.00	Comedy
Nov 4, 2011	2011	A Very Harold & Kumar 3D Christmas	Comedy	Fantasy	20000000.00	2875	12954142.00	35061031.00	1204714.00	36265745.00	Comedy
Sep 16, 2011	2011	Drive	Action	Contemporary Fiction	15000000.00	2904	11340461.00	35060689.00	46297241.00	81357930.00	Action
Sep 30, 2011	2011	50/50	Black Comedy	Contemporary Fiction	8000000.00	2479	8644095.00	35016118.00	6318617.00	41334735.00	Comedy
Sep 30, 2011	2011	Courageous	Drama	Contemporary Fiction	2000000.00	1214	9112839.00	34522221.00	663663.00	35185884.00	Drama
Jan 28, 2011	2011	The Rite	Horror	Dramatization	37000000.00	2985	14789393.00	33047633.00	64096354.00	97143987.00	Horror
Apr 8, 2011	2011	Arthur	Comedy	Contemporary Fiction	40000000.00	3276	12222756.00	33035397.00	14752546.00	47787943.00	Comedy
Dec 25, 2011	2011	Extremely Loud and Incredibly Close	Drama	Historical Fiction	40000000.00	2630	72348.00	31847881.00	23400000.00	55247881.00	Drama
Aug 31, 2011	2011	The Debt	Thriller/Suspense	Historical Fiction	20000000.00	1876	9909499.00	31177548.00	15426506.00	46604054.00	Thriller/Suspense
Dec 9, 2011	2011	The Sitter	Comedy	Contemporary Fiction	25000000.00	2752	9851435.00	30542576.00	8206828.00	38749404.00	Comedy
May 13, 2011	2011	Priest	Horror	Fantasy	60000000.00	2864	14953664.00	29136626.00	55017400.00	84154026.00	Horror
Jan 28, 2011	2011	The Mechanic	Action	Contemporary Fiction	42500000.00	2704	11422006.00	29121498.00	47225895.00	76347393.00	Action
May 4, 2012	2012	The Avengers	Action	Super Hero	225000000.00	4349	207438708.00	623279547.00	894656350.00	1517935897.00	Action
Jul 20, 2012	2012	The Dark Knight Rises	Action	Super Hero	275000000.00	4404	160887295.00	448139099.00	636300000.00	1084439099.00	Action
Mar 23, 2012	2012	The Hunger Games	Thriller/Suspense	Science Fiction	80000000.00	4137	152535747.00	408010692.00	269912687.00	677923379.00	Thriller/Suspense
Nov 8, 2012	2012	Skyfall	Action	Contemporary Fiction	200000000.00	3526	88364714.00	304360277.00	806166704.00	1110526981.00	Action
Dec 14, 2012	2012	The Hobbit: An Unexpected Journey	Adventure	Fantasy	250000000.00	4100	84617303.00	303003568.00	714000000.00	1017003568.00	Adventure
Nov 16, 2012	2012	The Twilight Saga: Breaking Dawn, Part 2	Drama	Fantasy	136200000.00	4070	141067634.00	292324737.00	537400000.00	829724737.00	Drama
Jul 3, 2012	2012	The Amazing Spider-Man	Adventure	Super Hero	220000000.00	4318	62004688.00	262030663.00	495859604.00	757890267.00	Adventure
Jun 22, 2012	2012	Brave	Adventure	Kids Fiction	185000000.00	4164	66323594.00	237282182.00	317324350.00	554606532.00	Adventure
Jun 29, 2012	2012	Ted	Adventure	Contemporary Fiction	50000000.00	3303	54415205.00	218665740.00	337350887.00	556016627.00	Adventure
Jun 8, 2012	2012	Madagascar 3: Europe's Most Wanted	Adventure	Kids Fiction	145000000.00	4263	60316738.00	216391482.00	530529789.00	746921271.00	Adventure
Mar 2, 2012	2012	Doctor Seuss' The Lorax	Adventure	Kids Fiction	67500000.00	3769	70217070.00	214030500.00	136946253.00	350976753.00	Adventure
Nov 2, 2012	2012	Wreck-It Ralph	Adventure	Kids Fiction	165000000.00	3752	49038712.00	189412677.00	307098844.00	496511521.00	Adventure
Nov 9, 2012	2012	Lincoln	Drama	Dramatization	65000000.00	2293	944308.00	182207973.00	91138308.00	273346281.00	Drama
May 25, 2012	2012	Men in Black 3	Adventure	Science Fiction	215000000.00	4248	54592779.00	179020854.00	475192631.00	654213485.00	Adventure
Dec 25, 2012	2012	Django Unchained	Western	Historical Fiction	100000000.00	3012	30122888.00	162805434.00	287142889.00	449948323.00	Drama
Jul 13, 2012	2012	Ice Age: Continental Drift	Adventure	Fantasy	95000000.00	3886	46629259.00	161321843.00	718443294.00	879765137.00	Adventure
Jun 1, 2012	2012	Snow White and the Huntsman	Adventure	Fantasy	170000000.00	3777	56217700.00	155136755.00	245884991.00	401021746.00	Adventure
Dec 25, 2012	2012	Les Miserables	Musical	Historical Fiction	65000000.00	2927	27281735.00	148809770.00	293359282.00	442169052.00	Concert/Musical
Sep 28, 2012	2012	Hotel Transylvania	Adventure	Kids Fiction	85000000.00	3384	42522194.00	148313048.00	230192764.00	378505812.00	Adventure
Oct 5, 2012	2012	Taken 2	Thriller/Suspense	Contemporary Fiction	45000000.00	3706	49514769.00	139854287.00	237953117.00	377807404.00	Thriller/Suspense
Mar 16, 2012	2012	21 Jump Street	Comedy	Contemporary Fiction	42000000.00	3148	36302612.00	138447667.00	64364762.00	202812429.00	Comedy
Oct 12, 2012	2012	Argo	Thriller/Suspense	Historical Fiction	44500000.00	3247	19458109.00	136025503.00	91115254.00	227140757.00	Thriller/Suspense
Nov 16, 2012	2012	Silver Linings Playbook	Drama	Contemporary Fiction	21000000.00	2809	443003.00	132092958.00	104319495.00	236412453.00	Drama
Jun 8, 2012	2012	Prometheus	Adventure	Science Fiction	125000000.00	3442	51050101.00	126477084.00	275971181.00	402448265.00	Adventure
Feb 10, 2012	2012	Safe House	Thriller/Suspense	Contemporary Fiction	85000000.00	3121	40172720.00	126181630.00	82360532.00	208542162.00	Thriller/Suspense
Feb 10, 2012	2012	The Vow	Drama	Historical Fiction	30000000.00	3038	41202458.00	125014030.00	72604130.00	197618160.00	Drama
Nov 21, 2012	2012	Life of Pi	Drama	Fantasy	120000000.00	2946	22451514.00	124987022.00	482271612.00	607258634.00	Drama
Jun 29, 2012	2012	Magic Mike	Comedy	Contemporary Fiction	7000000.00	3120	39127170.00	113721571.00	56828182.00	170549753.00	Comedy
Aug 10, 2012	2012	The Bourne Legacy	Thriller/Suspense	Contemporary Fiction	125000000.00	3753	38142825.00	113203870.00	167152050.00	280355920.00	Thriller/Suspense
Feb 10, 2012	2012	Journey 2: The Mysterious Island	Adventure	Fantasy	79000000.00	3500	27335363.00	103860290.00	214285872.00	318146162.00	Adventure
Nov 21, 2012	2012	Rise of the Guardians	Adventure	Kids Fiction	145000000.00	3672	23773465.00	103412758.00	203488144.00	306900902.00	Adventure
Dec 19, 2012	2012	Zero Dark Thirty	Drama	Dramatization	52500000.00	2946	417150.00	95720716.00	38891719.00	134612435.00	Drama
Nov 2, 2012	2012	Flight	Drama	Contemporary Fiction	31000000.00	2638	24900566.00	93772375.00	66786063.00	160558438.00	Drama
Apr 20, 2012	2012	Think Like a Man	Romantic Comedy	Contemporary Fiction	12000000.00	2052	33636303.00	91547205.00	21826559.00	113373764.00	Comedy
Aug 10, 2012	2012	The Campaign	Comedy	Contemporary Fiction	95000000.00	3302	26588460.00	86907746.00	18000000.00	104907746.00	Comedy
Aug 17, 2012	2012	The Expendables 2	Action	Contemporary Fiction	100000000.00	3355	28591370.00	85028192.00	226951064.00	311979256.00	Action
Mar 30, 2012	2012	Wrath of the Titans	Adventure	Fantasy	150000000.00	3545	33457188.00	83670083.00	221600000.00	305270083.00	Adventure
Dec 21, 2012	2012	Jack Reacher	Drama	Contemporary Fiction	60000000.00	3352	15210156.00	80070736.00	137300000.00	217370736.00	Drama
May 11, 2012	2012	Dark Shadows	Black Comedy	Fantasy	150000000.00	3755	29685274.00	79727149.00	158475519.00	238202668.00	Comedy
Dec 25, 2012	2012	Parental Guidance	Adventure	Contemporary Fiction	25000000.00	3368	14554053.00	77267296.00	43565087.00	120832383.00	Adventure
Mar 9, 2012	2012	John Carter	Adventure	Science Fiction	275000000.00	3749	30180188.00	73058679.00	209719421.00	282778100.00	Adventure
Feb 24, 2012	2012	Act of Valor	Action	Contemporary Fiction	12000000.00	3053	24476632.00	70012847.00	12484188.00	82497035.00	Action
Dec 21, 2012	2012	This is 40	Comedy	Contemporary Fiction	35000000.00	2931	11579175.00	67544505.00	22676677.00	90221182.00	Comedy
Jan 13, 2012	2012	Contraband	Action	Contemporary Fiction	25000000.00	2870	24349815.00	66528000.00	31878855.00	98406855.00	Action
Sep 28, 2012	2012	Looper	Action	Science Fiction	30000000.00	2993	20801552.00	66486205.00	103980200.00	170466405.00	Action
Jun 29, 2012	2012	Tyler Perry's Madea's Witness Protection	Comedy	Contemporary Fiction	20000000.00	2161	25390575.00	65653242.00	1297645.00	66950887.00	Comedy
May 18, 2012	2012	Battleship	Action	Contemporary Fiction	220000000.00	3702	25534825.00	65233400.00	248244317.00	313477717.00	Action
Sep 28, 2012	2012	Pitch Perfect	Comedy	Contemporary Fiction	17000000.00	2787	5149433.00	65001093.00	51043254.00	116044347.00	Comedy
Mar 30, 2012	2012	Mirror Mirror	Adventure	Fantasy	85000000.00	3618	18132085.00	64935167.00	108678315.00	173613482.00	Adventure
Feb 3, 2012	2012	Chronicle	Thriller/Suspense	Science Fiction	12000000.00	2908	22004098.00	64575175.00	59106615.00	123681790.00	Thriller/Suspense
Aug 8, 2012	2012	Hope Springs	Romantic Comedy	Contemporary Fiction	30000000.00	2441	14650121.00	63536011.00	69549284.00	133085295.00	Comedy
Jan 20, 2012	2012	Underworld: Awakening	Action	Fantasy	70000000.00	3078	25306725.00	62321039.00	98058891.00	160379930.00	Action
Apr 20, 2012	2012	The Lucky One	Drama	Contemporary Fiction	25000000.00	3175	22518358.00	60457138.00	36176695.00	96633833.00	Drama
May 16, 2012	2012	The Dictator	Comedy	Contemporary Fiction	65000000.00	3014	17435092.00	59650222.00	120498675.00	180148897.00	Comedy
Aug 3, 2012	2012	Total Recall	Action	Science Fiction	125000000.00	3601	25577758.00	58877969.00	152978119.00	211856088.00	Action
Apr 6, 2012	2012	American Reunion	Comedy	Contemporary Fiction	50000000.00	3203	21514080.00	56758835.00	180040376.00	236799211.00	Comedy
Aug 17, 2012	2012	ParaNorman	Adventure	Kids Fiction	60000000.00	3455	14087050.00	56003051.00	52116611.00	108119662.00	Adventure
Feb 17, 2012	2012	This Means War	Romantic Comedy	Contemporary Fiction	65000000.00	3189	17405930.00	54760791.00	102213766.00	156974557.00	Comedy
Mar 2, 2012	2012	Project X	Comedy	Contemporary Fiction	12000000.00	3055	21051363.00	54731865.00	48296323.00	103028188.00	Comedy
Feb 3, 2012	2012	The Woman in Black	Thriller/Suspense	Fantasy	15000000.00	2856	20874072.00	54333290.00	74622608.00	128955898.00	Thriller/Suspense
Oct 19, 2012	2012	Paranormal Activity 4	Horror	Fantasy	5000000.00	3412	29003866.00	53900335.00	88917657.00	142817992.00	Horror
Jan 6, 2012	2012	The Devil Inside	Horror	Fantasy	1000000.00	2551	33732515.00	53262945.00	48496545.00	101759490.00	Horror
Aug 15, 2012	2012	The Odd Life of Timothy Green	Drama	Fantasy	40000000.00	2717	10822903.00	51853450.00	3395709.00	55249159.00	Drama
Feb 17, 2012	2012	Ghost Rider: Spirit of Vengeance	Action	Contemporary Fiction	57000000.00	3174	22115334.00	51774002.00	97443353.00	149217355.00	Action
Jan 27, 2012	2012	The Grey	Thriller/Suspense	Contemporary Fiction	25000000.00	3207	19665101.00	51580136.00	29669040.00	81249176.00	Thriller/Suspense
Jan 20, 2012	2012	Red Tails	Action	Historical Fiction	58000000.00	2573	18782154.00	49876377.00	489121.00	50365498.00	Action
Aug 31, 2012	2012	The Possession	Horror	Fantasy	14000000.00	2860	17732480.00	49130588.00	33794476.00	82925064.00	Horror
Aug 3, 2012	2012	Diary of a Wimpy Kid: Dog Days	Adventure	Kids Fiction	22000000.00	3401	14623599.00	49008662.00	28221033.00	77229695.00	Adventure
Oct 12, 2012	2012	Sinister	Thriller/Suspense	Fantasy	3000000.00	2542	18007634.00	48086903.00	39640904.00	87727807.00	Thriller/Suspense
Jul 6, 2012	2012	Savages	Thriller/Suspense	Contemporary Fiction	45000000.00	2635	16016910.00	47323100.00	35190390.00	82513490.00	Thriller/Suspense
May 4, 2012	2012	The Best Exotic Marigold Hotel	Comedy	Contemporary Fiction	10000000.00	1298	737051.00	46383639.00	88256141.00	134639780.00	Comedy
May 25, 2012	2012	Moonrise Kingdom	Drama	Historical Fiction	16000000.00	924	522996.00	45512466.00	23335980.00	68848446.00	Drama
Oct 12, 2012	2012	Here Comes the Boom	Comedy	Contemporary Fiction	42000000.00	3014	11816596.00	45290318.00	27948940.00	73239258.00	Comedy
Nov 21, 2012	2012	Red Dawn	Action	Contemporary Fiction	65000000.00	2781	14276668.00	44806783.00	3357367.00	48164150.00	Action
Apr 13, 2012	2012	The Three Stooges	Adventure	Contemporary Fiction	30000000.00	3482	17010125.00	44338224.00	9714025.00	54052249.00	Adventure
Sep 14, 2012	2012	Resident Evil: Retribution	Action	Science Fiction	65000000.00	3016	21052227.00	42345531.00	198302098.00	240647629.00	Action
Apr 13, 2012	2012	The Cabin in the Woods	Thriller/Suspense	Fantasy	30000000.00	3572	14743614.00	42073277.00	28616691.00	70689968.00	Thriller/Suspense
May 18, 2012	2012	What to Expect When You're Expecting	Romantic Comedy	Contemporary Fiction	37500000.00	3021	10547068.00	41152203.00	47320813.00	88473016.00	Comedy
Sep 21, 2012	2012	End of Watch	Thriller/Suspense	Contemporary Fiction	15000000.00	2780	13152683.00	41003371.00	16583235.00	57586606.00	Thriller/Suspense
Jun 15, 2012	2012	Rock of Ages	Musical	Contemporary Fiction	70000000.00	3470	14437269.00	38518613.00	22513319.00	61031932.00	Concert/Musical
Jun 22, 2012	2012	Abraham Lincoln: Vampire Hunter	Horror	Fantasy	67500000.00	3109	16306974.00	37519139.00	99970591.00	137489730.00	Horror
Aug 29, 2012	2012	Lawless	Drama	Historical Fiction	26000000.00	3138	10001982.00	37397291.00	16996396.00	54393687.00	Drama
Dec 19, 2012	2012	The Guilt Trip	Comedy	Contemporary Fiction	40000000.00	2431	5290629.00	37134215.00	4160459.00	41294674.00	Comedy
Jun 15, 2012	2012	That's My Boy	Comedy	Contemporary Fiction	57500000.00	3030	13453714.00	36931089.00	21154146.00	58085235.00	Comedy
Sep 21, 2012	2012	Trouble with the Curve	Drama	Contemporary Fiction	60000000.00	3212	12162040.00	35763137.00	12055776.00	47818913.00	Drama
Oct 5, 2012	2012	Frankenweenie	Adventure	Fantasy	39000000.00	3005	11412213.00	35287788.00	45863000.00	81150788.00	Adventure
Jul 27, 2012	2012	Step Up Revolution	Drama	Contemporary Fiction	33000000.00	2606	11731708.00	35074677.00	130477613.00	165552290.00	Drama
Feb 24, 2012	2012	Tyler Perry's Good Deeds	Drama	Contemporary Fiction	14000000.00	2132	15583924.00	35025791.00	553386.00	35579177.00	Drama
Jul 27, 2012	2012	The Watch	Comedy	Contemporary Fiction	55000000.00	3168	12750297.00	34353000.00	32777045.00	67130045.00	Comedy
Jul 13, 2012	2012	2016: Obama’s America	Documentary	Factual	2500000.00	2017	31610.00	33349941.00	0.00	33349941.00	Documentary
Sep 21, 2012	2012	House at the End of the Street	Horror	Contemporary Fiction	6900000.00	3083	12287234.00	31611916.00	12492066.00	44103982.00	Horror
Apr 27, 2012	2012	The Pirates! Band of Misfits	Adventure	Kids Fiction	55000000.00	3358	11137734.00	31051126.00	105092479.00	136143605.00	Adventure
Jan 13, 2012	2012	Joyful Noise	Musical	Contemporary Fiction	27500000.00	2735	11225190.00	30932113.00	225801.00	31157914.00	Concert/Musical
Jan 13, 2012	2012	The Iron Lady	Drama	Dramatization	14000000.00	1244	220409.00	29959436.00	85632668.00	115592104.00	Drama
Apr 20, 2012	2012	Chimpanzee	Documentary	Factual	0.00	1567	10673748.00	28965459.00	5752647.00	34718106.00	Documentary
Apr 27, 2012	2012	The Five-Year Engagement	Romantic Comedy	Contemporary Fiction	30000000.00	2941	10610060.00	28700285.00	32923534.00	61623819.00	Comedy
Oct 26, 2012	2012	Cloud Atlas	Drama	Multiple Creative Types	102000000.00	2023	9612247.00	27108272.00	103564882.00	130673154.00	Drama
Jan 27, 2012	2012	One for the Money	Comedy	Contemporary Fiction	42000000.00	2737	11515790.00	26414527.00	9782694.00	36197221.00	Comedy
Oct 19, 2012	2012	Alex Cross	Thriller/Suspense	Contemporary Fiction	35000000.00	2541	11396768.00	25888412.00	9538347.00	35426759.00	Thriller/Suspense
Jul 5, 2012	2012	Katy Perry: Part of Me	Concert/Performance	Factual	12000000.00	2732	7138266.00	25326071.00	7374368.00	32700439.00	Concert/Musical
Nov 22, 2013	2013	The Hunger Games: Catching Fire	Adventure	Science Fiction	130000000.00	4163	158074286.00	424668047.00	440200000.00	864868047.00	Adventure
May 3, 2013	2013	Iron Man 3	Action	Super Hero	200000000.00	4253	174144585.00	408992272.00	806400000.00	1215392272.00	Action
Nov 22, 2013	2013	Frozen	Musical	Kids Fiction	150000000.00	3742	243390.00	400738009.00	871731901.00	1272469910.00	Concert/Musical
Jul 3, 2013	2013	Despicable Me 2	Adventure	Kids Fiction	76000000.00	4003	84227980.00	368065385.00	607151450.00	975216835.00	Adventure
Jun 14, 2013	2013	Man of Steel	Action	Super Hero	225000000.00	4207	116619362.00	291045518.00	376954000.00	667999518.00	Action
Oct 4, 2013	2013	Gravity	Thriller/Suspense	Contemporary Fiction	110000000.00	3820	55785112.00	274092705.00	419605968.00	693698673.00	Thriller/Suspense
Jun 21, 2013	2013	Monsters University	Adventure	Kids Fiction	200000000.00	4004	82429469.00	268488329.00	475100000.00	743588329.00	Adventure
Dec 13, 2013	2013	The Hobbit: The Desolation of Smaug	Adventure	Fantasy	250000000.00	3928	73645197.00	258366855.00	702000000.00	960366855.00	Adventure
May 24, 2013	2013	Fast and Furious 6	Action	Contemporary Fiction	160000000.00	3771	97375245.00	238679850.00	550620594.00	789300444.00	Action
Mar 8, 2013	2013	Oz the Great and Powerful	Adventure	Fantasy	200000000.00	3912	79110453.00	234770996.00	255588055.00	490359051.00	Adventure
May 16, 2013	2013	Star Trek Into Darkness	Adventure	Science Fiction	190000000.00	3907	70165559.00	228778661.00	238602923.00	467381584.00	Adventure
Nov 8, 2013	2013	Thor: The Dark World	Action	Super Hero	150000000.00	3841	85737841.00	206362140.00	438240376.00	644602516.00	Action
Jun 21, 2013	2013	World War Z	Action	Science Fiction	190000000.00	3607	66411834.00	202359711.00	329154939.00	531514650.00	Action
Mar 22, 2013	2013	The Croods	Adventure	Kids Fiction	135000000.00	4065	43639736.00	187168425.00	385900000.00	573068425.00	Adventure
Jun 28, 2013	2013	The Heat	Comedy	Contemporary Fiction	43000000.00	3184	39115043.00	159581587.00	70146187.00	229727774.00	Comedy
Aug 7, 2013	2013	We're the Millers	Comedy	Contemporary Fiction	37000000.00	3445	26419396.00	150394119.00	117422157.00	267816276.00	Comedy
Dec 13, 2013	2013	American Hustle	Black Comedy	Dramatization	40000000.00	2629	740455.00	150117807.00	107760487.00	257878294.00	Comedy
May 10, 2013	2013	The Great Gatsby	Drama	Historical Fiction	190000000.00	3550	50085184.00	144840419.00	206200000.00	351040419.00	Drama
Jul 19, 2013	2013	The Conjuring	Horror	Fantasy	20000000.00	3115	41855326.00	137400141.00	180600000.00	318000141.00	Horror
Feb 8, 2013	2013	Identity Thief	Comedy	Contemporary Fiction	35000000.00	3230	34551025.00	134506920.00	40854658.00	175361578.00	Comedy
Jul 12, 2013	2013	Grown Ups 2	Comedy	Contemporary Fiction	80000000.00	3491	41508572.00	133668525.00	113355283.00	247023808.00	Comedy
Jul 26, 2013	2013	The Wolverine	Action	Super Hero	115000000.00	3924	53113752.00	132556852.00	283900000.00	416456852.00	Action
Dec 18, 2013	2013	Anchorman 2: The Legend Continues	Comedy	Historical Fiction	50000000.00	3507	26232425.00	127352707.00	44833047.00	172185754.00	Comedy
Dec 25, 2013	2013	Lone Survivor	Action	Dramatization	40000000.00	3285	90872.00	125095601.00	24709031.00	149804632.00	Action
Mar 27, 2013	2013	G.I. Joe: Retaliation	Action	Contemporary Fiction	140000000.00	3734	40501814.00	122523060.00	253217645.00	375740705.00	Action
Sep 27, 2013	2013	Cloudy with a Chance of Meatballs 2	Adventure	Kids Fiction	78000000.00	4001	34017930.00	119793567.00	154599082.00	274392649.00	Adventure
May 31, 2013	2013	Now You See Me	Thriller/Suspense	Contemporary Fiction	75000000.00	3082	29350389.00	117723989.00	225045211.00	342769200.00	Thriller/Suspense
Dec 25, 2013	2013	The Wolf of Wall Street	Black Comedy	Dramatization	100000000.00	2557	18361578.00	116900694.00	272969720.00	389870414.00	Comedy
Aug 16, 2013	2013	Lee Daniels' The Butler	Drama	Dramatization	30000000.00	3330	24637312.00	116632095.00	60393403.00	177025498.00	Drama
May 23, 2013	2013	The Hangover 3	Comedy	Contemporary Fiction	103000000.00	3565	41671198.00	112200072.00	249800000.00	362000072.00	Comedy
May 24, 2013	2013	Epic	Adventure	Kids Fiction	100000000.00	3894	33531068.00	107518682.00	155275759.00	262794441.00	Adventure
Oct 11, 2013	2013	Captain Phillips	Drama	Dramatization	55000000.00	3143	25718314.00	107136417.00	113511767.00	220648184.00	Drama
