Year	month	Price
2014	Sep	3.432
2014	Oct	3.139
2014	Nov	2.907
2014	Dec	2.496
2015	Jan	2.133
2015	Feb	2.415
2015	Mar	2.538
2015	Apr	2.656
2015	May	2.857
2015	Jun	2.895
2015	Jul	2.833
2015	Aug	2.726
2015	Sep	2.418
2015	Oct	2.326
2015	Nov	2.198
2015	Dec	2.141
2016	Jan	1.965
2016	Feb	1.837
2016	Mar	2.169
2016	Apr	2.265
2016	May	2.403
2016	Jun	2.432
2016	Jul	2.289
2016	Aug	2.299
2016	Sep	2.334
2016	Oct	2.353
2016	Nov	2.268
2016	Dec	2.419
2017	Jan	2.436
2017	Feb	2.427
2017	Mar	2.428
2017	Apr	2.559
2017	May	2.51
2017	Jun	2.404
2017	Jul	2.426
2017	Aug	2.513
2017	Sep	2.701
2017	Oct	2.594
2017	Nov	2.648
2017	Dec	2.589
2018	Jan	2.684
2018	Feb	2.666
2018	Mar	2.764
2018	Apr	2.914
2018	May	3.039
2018	Jun	2.913
2018	Jul	2.911
2018	Aug	2.906
2018	Sep	2.923
2018	Oct	2.925
2018	Nov	2.63
2018	Dec	2.413
2019	Jan	2.343
2019	Feb	2.471
2019	Mar	2.701
2019	Apr	2.926
2019	May	2.909
2019	Jun	2.741
2019	Jul	2.833
2019	Aug	2.661
2019	Sep	2.741
2019	Oct	2.692
