AcresBurned	Year	month	Location	Name
100	2013	08	San Francisquito Canyon Rd & Stator Ln	Bee Fire
100	2013	06	off Lime Kiln Rd	Murphy Fire
100	2013	05	Off Alta Rd in the Otay Mesa area	Border Fire
98	2013	09	off Highland Springs Rd, southeast of Kelseyville	Highland Fire
97	2013	09	Both sides of Davis Creek near Hwy 395, south of Goose Lake 	Davis Creek Complex
97	2013	08	near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.	Little Fire
97	2013	08	Southeast of Coyote Reservoir, 20 miles southeast of Bieber	Coyote Fire
96	2013	06	Roadrunner Drive, south of Ione	Roadrunner Fire
94	2013	09	off Toro Creek Rd, east of Cayucos	Creek Fire
92	2013	08	Near Rocky Peak - North Fork Lake Oroville near Cherokee	Branch Fire
91	2013	05	Off Road 400 & Sandy Beach Dr. in Yosemite Lakes	Lilly 2 Fire
90	2013	05	Off Whitewater Canyon Road in Whitewater	Water Fire
85	2013	07	off Adelaida Rd & Vineyard Dr, west of Paso Robles	Adelaida Fire
82	2013	11	Off Hwy 101 at Henry Station Rd, north of Hopland	Retek Fire
80	2013	08	Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia 	Centerville Fire
80	2013	04	Butte Ave near Conejo Ave near the community of Helm.	Butte Fire
75	2013	09	East of Molinos	Tehama Fire
75	2013	07	Hwy 138 west of Hwy 173	Silverwood Fire
75	2013	06	Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold	Revis Fire
75	2013	05	I-15 at Sierra Ave, near Lytle Creek	Lytle Fire
75	2013	04	7300 block of Silverado Trail, north of Napa	Silverado Fire
73	2013	09	Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. 	Liveoak Fire
73	2013	07	off Highway 20 and McGanney Lane, west of Smartsville	McGanney Fire
72	2013	05	Off Cedar Creek Loop Rd, South of Butte Meadows	Cedar Fire
70	2013	08	Hwy 20 and Mule Skinner Rd., Clear Lake Oaks	Double Fire
68	2013	09	Rail Mountain, 7 miles NW of Canby	Rail Fire
64	2013	11	Wheeler Canyon, north of Santa Paula	Wheeler Fire
60	2013	08	Off of Hwy 111 & Tramway Rd in Palm Springs	Tram Fire
60	2013	08	near Mt. David, south of Beaumont	Relay Fire
52	2013	08	North San Juan Area, Highway 49 and Tyler Foote Road	Tyler Fire
51	2013	11	Toro Creek Rd. and Hwy 41 West, Morro Bay	Toro Fire
50	2013	11	Off Bruner Drive & Al Drive, Clearlake Oaks	Bruner Fire
50	2013	08	Cottonwood Creek Rd., 2 miles north of Hornbrook	Cottonwood Fire
50	2013	07	Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill	Uvas Fire
50	2013	07	off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy	Grant Fire
50	2013	05	Homestead Rd & Hwy 41, northeast of Atascadero 	Homestead Fire
46	2013	08	Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake 	Bridges Fire
46	2013	06	Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry	Sierra Fire
45	2013	07	Hwy 175 & Pratt Ranch Road, East of Hopland 	Pratt Fire
44	2013	12	off Happy Camp Canyon Rd near Moorpark	Happy Camp Fire
43	2013	07	off Fiddler	Fiddler Fire
42	2013	06	off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley	Viper Fire
41	2013	09	Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco	Chestnut Fire
40	2013	12	off Mount Hamilton Road near Grant Ranch County Park	Grant Fire
40	2013	10	Off Baker Canyon Rd, Silverado Canyon area, east of Irvine	Baker Fire
40	2013	09	off I-8 & Los Coches Rd near Lakeside	Valley Fire
40	2013	08	Ave 66 and Pierce Street  	Pierce Fire
40	2013	07	Siskiyou Wildlife Refuge, 5 miles SE of Montague	Trout Fire
40	2013	07	Heacock St & Sandy Glade Ave in Moreno Valley	Heacock Fire
40	2013	06	Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove	Palmyrita Fire
40	2013	05	Avenue 54 and Tyler Street, near the community of Coachella	54 Fire
38	2013	08	off Hwy 193 & Empire Creek Cir near Georgetown	Empire Fire
