Player	Position	Team	Receptions	Yards	AvgYds	Longest	TDs	YDS/G	TAR	20+	FUM	YAC	1DN
Daniel Brown	TE	NYJ	7	72	10.3	24	1	4.5	11	2	0	19	4
Tyler Kroft	TE	BUF	6	71	11.8	20	1	6.5	14	1	0	28	5
D'Ernest Johnson	RB	CLE	6	71	11.8	27	0	4.4	7	1	0	44	1
Chad Beebe	WR	MIN	2	70	35	61	0	23.3	2	1	0	67	2
Justice Hill	RB	BAL	8	70	8.8	14	0	4.4	15	0	0	82	5
Jordan Howard	RB	PHI	10	69	6.9	20	1	6.9	14	1	0	72	3
Brian Hill	RB	ATL	10	69	6.9	12	1	5.8	14	0	0	53	4
Riley Ridley	WR	CHI	6	69	11.5	32	0	13.8	7	1	0	17	4
Chris Hogan	WR	CAR	8	67	8.4	13	0	9.6	15	0	0	32	3
Blake Bell	TE	KC	8	67	8.4	30	0	4.5	15	1	0	10	3
Rico Gafford	WR	OAK	2	66	33	49	1	16.5	2	1	0	18	2
Geoff Swaim	TE	JAX	13	65	5	9	0	10.8	17	0	0	46	1
Durham Smythe	TE	MIA	7	65	9.3	24	0	4.1	14	1	0	18	2
Wendell Smallwood	RB	WSH	9	64	7.1	18	0	4.3	13	0	0	53	4
Robert Foster	WR	BUF	3	64	21.3	24	0	4.9	18	3	0	32	3
Kalen Ballage	RB	MIA	14	63	4.5	13	0	5.3	24	0	0	88	4
Tevin Jones	WR	PIT	4	61	15.3	28	0	12.2	10	1	0	12	1
Chris Lacy	WR	DET	3	60	20	48	0	8.6	10	1	0	9	2
Ben Braunecker	TE	CHI	6	59	9.8	18	1	5.4	11	0	0	24	5
Jonathan Williams	RB	IND	5	59	11.8	31	0	6.6	5	1	0	65	3
Tyler Conklin	TE	MIN	8	58	7.3	20	0	3.9	10	1	0	16	2
Clive Walford	TE	MIA	4	57	14.3	19	0	8.1	8	0	0	26	4
Reggie Bonnafon	RB	CAR	6	57	9.5	32	0	3.6	9	1	0	50	1
Devontae Booker	RB	DEN	6	57	9.5	25	0	3.6	9	1	0	41	1
Antonio Brown	WR	NE	4	56	14	20	1	56	8	1	0	7	3
Andre Patton	WR	LAC	6	56	9.3	15	0	4.3	17	0	0	28	4
Travis Homer	RB	SEA	11	56	5.1	11	0	3.5	13	0	0	63	3
Rashard Higgins	WR	CLE	4	55	13.8	35	1	5.5	11	1	0	10	3
Khari Blasingame	RB	TEN	4	54	13.5	24	0	9	5	2	0	36	2
Luke Stocker	TE	ATL	8	53	6.6	18	0	3.5	14	0	1	36	2
DeAndrew White	WR	CAR	4	51	12.8	18	0	5.1	9	0	0	26	3
Myles Gaskin	RB	MIA	7	51	7.3	20	0	7.3	12	1	0	49	2
Ross Travis	TE	IND	4	51	12.8	25	0	17	6	1	1	29	1
Stephen Carlson	TE	CLE	5	51	10.2	21	1	5.7	7	1	0	23	2
Lance Kendricks	TE	LAC	3	50	16.7	24	0	4.2	7	1	0	10	3
Deon Yelder	TE	KC	3	50	16.7	24	0	5.6	4	1	0	32	2
Trey Edmunds	RB	PIT	6	48	8	11	0	4.4	7	0	0	41	2
Deontay Burnett	WR	PHI	2	48	24	41	0	48	4	1	0	6	1
Patrick Ricard	FB	BAL	8	47	5.9	10	1	2.9	11	0	0	55	3
Trevon Wesco	TE	NYJ	2	47	23.5	32	0	2.9	3	1	0	41	2
Cedrick Wilson	WR	DAL	5	46	9.2	14	0	7.7	8	0	0	13	2
Alexander Hollins	WR	MIN	2	46	23	35	0	9.2	4	1	0	5	2
Gus Edwards	RB	BAL	7	45	6.4	10	0	2.8	7	0	0	47	2
Alec Ingold	FB	OAK	6	44	7.3	14	1	2.8	6	0	0	41	4
Jordan Wilkins	RB	IND	7	43	6.1	11	0	3.1	11	0	0	32	1
Jason Moore	WR	LAC	2	43	21.5	32	0	4.3	5	1	0	7	2
Darwin Thompson	RB	KC	9	43	4.8	19	0	3.6	10	0	0	65	2
Carlos Hyde	RB	HOU	10	42	4.2	14	0	2.6	16	0	0	54	2
Andy Janovich	FB	DEN	5	42	8.4	22	0	6	5	1	0	35	1
Patrick DiMarco	FB	BUF	5	41	8.2	27	0	2.6	7	1	0	31	1
David Njoku	TE	CLE	5	41	8.2	18	1	10.3	10	0	0	14	3
TJ Jones	WR	NYG	3	38	12.7	28	1	12.7	4	1	0	20	2
Geremy Davis	WR	LAC	3	38	12.7	19	0	5.4	3	0	0	2	1
Elandon Roberts	LB	NE	1	38	38	38	1	2.4	1	1	0	32	1
Troy Fumagalli	TE	DEN	6	38	6.3	9	1	3.5	9	0	0	17	1
Steven Mitchell Jr.	WR	HOU	2	37	18.5	21	0	12.3	6	1	0	14	2
Darrell Henderson Jr.	RB	LAR	4	37	9.3	14	0	2.8	6	0	0	38	1
Zach Line	FB	NO	6	36	6	12	0	3	10	0	0	44	1
J.J. Nelson	WR	OAK	4	36	9	29	1	18	5	1	0	14	1
Ty Sambrailo	OT	ATL	1	35	35	35	1	2.7	1	1	0	22	1
Bobo Wilson	WR	TB	3	35	11.7	14	0	5.8	11	0	0	2	2
Ishmael Hyman	WR	TB	2	34	17	31	0	17	4	1	0	0	2
Jeff Wilson Jr.	RB	SF	3	34	11.3	25	1	3.4	5	1	0	22	1
Gunner Olszewski	WR	NE	2	34	17	29	0	4.3	4	1	0	17	1
Bilal Powell	RB	NYJ	7	33	4.7	9	0	2.5	12	0	0	46	0
Jordan Matthews	WR	PHI/SF	4	33	8.3	10	0	16.5	12	0	0	5	1
Derek Watt	FB	LAC	3	32	10.7	21	0	2	5	1	0	28	1
Devin Funchess	WR	IND	3	32	10.7	16	0	32	5	0	0	6	2
Lee Smith	TE	BUF	4	31	7.8	9	1	1.9	5	0	0	8	2
Diontae Spencer	WR	DEN	6	31	5.2	20	0	1.9	8	1	1	32	1
C.J. Board	WR	JAX	2	31	15.5	23	0	7.8	4	1	0	6	1
Travis Benjamin	WR	LAC	6	30	5	13	0	6	16	0	0	16	3
Drew Sample	TE	CIN	5	30	6	21	0	3.3	6	1	0	12	1
