SCHOOL	DISTRICT	CHARTER	ACT.COMPOSITE	TEST.TAKERS
East High	Wausau	No	20.38	227
Prescott High	Prescott	No	20.37	94
Florence High	Florence County	No	20.36	26
Logan High	La Crosse	No	20.35	147
Rice Lake High	Rice Lake Area	No	20.34	142
Milton High	Milton	No	20.34	259
Mayville High	Mayville	No	20.32	84
Clark Street Community School	Middleton-Cross Plains Area	Yes	20.28	23
Greenwood High	Greenwood	No	20.28	25
Stevens Point Area Senior High	Stevens Point Area Public	No	20.28	483
Princeton School	Princeton	No	20.27	31
Rock University High	Janesville	Yes	20.25	8
West High	Wauwatosa	No	20.25	283
Elkhart Lake High	Elkhart Lake-Glenbeulah	No	20.24	34
Ellsworth High	Ellsworth Community	No	20.24	118
D C Everest High	D C Everest Area	No	20.23	380
Chilton High	Chilton	No	20.2	87
Fall Creek High	Fall Creek	No	20.18	55
Markesan High	Markesan	No	20.18	45
De Soto High	De Soto Area	No	20.17	30
Weyauwega High	Weyauwega-Fremont	No	20.15	61
Fox Cities Leadership Academy	Appleton Area	Yes	20.14	21
Wilmot High	Wilmot UHS	No	20.14	244
Baraboo High	Baraboo	No	20.12	222
New Holstein High	New Holstein	No	20.12	91
Badger High	Lake Geneva-Genoa City UHS	No	20.11	316
Chetek-Weyerhaeuser High	Chetek-Weyerhaeuser Area	No	20.11	48
Kaukauna High	Kaukauna Area	No	20.11	281
Lincoln High	Wisconsin Rapids	No	20.1	324
Niagara High	Niagara	No	20.07	28
Plum City High	Plum City	No	20.07	15
Random Lake High	Random Lake	No	20.06	69
Wild Rose High	Wild Rose	No	20.06	51
Lakeland High	Lakeland UHS	No	20.04	171
Edgerton High	Edgerton	No	20.03	117
Cameron High	Cameron	No	20.03	67
Pulaski High	Pulaski Community	No	20.02	264
Howards Grove High	Howards Grove	No	20.01	73
Crivitz High	Crivitz	No	20	56
Prentice High	Prentice	No	20	35
Etude High	Sheboygan Area	Yes	20	10
Hartford High	Hartford UHS	No	19.99	298
Monroe High	Monroe	No	19.99	178
Richland Center High	Richland	No	19.97	92
Oak Creek High	Oak Creek-Franklin Joint	No	19.97	499
Medford High	Medford Area Public	No	19.94	143
Tigerton High	Tigerton	No	19.89	9
Algoma High	Algoma	No	19.89	61
Sheboygan Falls High	Sheboygan Falls	No	19.89	120
Coleman High	Coleman	No	19.88	61
Belmont High	Belmont Community	No	19.88	25
King International	Milwaukee	No	19.86	351
Auburndale High	Auburndale	No	19.86	60
Glenwood City High	Glenwood City	No	19.86	58
Portage High	Portage Community	No	19.84	176
Northwestern High	Maple	No	19.83	105
Oconto Falls High	Oconto Falls Public	No	19.82	125
Southern Door High	Southern Door County	No	19.82	72
Union Grove High	Union Grove UHS	No	19.82	240
Stratford High	Stratford	No	19.82	81
Owen-Withee High	Owen-Withee	No	19.81	44
Cochrane-Fountain City High	Cochrane-Fountain City	No	19.8	47
Fennimore High	Fennimore Community	No	19.8	66
North High	Waukesha	No	19.79	293
Menomonie High	Menomonie Area	No	19.73	218
Big Foot High	Big Foot UHS	No	19.73	103
Boscobel High	Boscobel Area	No	19.7	44
Burlington High	Burlington Area	No	19.7	266
Mauston High	Mauston	No	19.69	87
Potosi High	Potosi	No	19.69	26
Iola-Scandinavia High	Iola-Scandinavia	No	19.69	46
Valders High	Valders Area	No	19.68	78
Elmwood High	Elmwood	No	19.68	23
Boyceville High	Boyceville Community	No	19.67	42
Spooner High	Spooner Area	No	19.65	84
Galesville-Ettrick-Trempealeau High	Galesville-Ettrick-Trempealeau	No	19.65	95
West High	Oshkosh Area	No	19.64	394
Chequamegon High	Chequamegon	No	19.63	74
East Troy High	East Troy Community	No	19.62	144
Hustisford High	Hustisford	No	19.61	38
Stoughton High	Stoughton Area	No	19.6	237
Prairie Farm High	Prairie Farm Public	No	19.6	15
Beaver Dam High	Beaver Dam Unified	No	19.59	269
Chippewa Falls High	Chippewa Falls Area Unified	No	19.59	344
Melrose-Mindoro Junior/Senior High	Melrose-Mindoro	No	19.59	47
eAchieve Academy - Wisconsin	Waukesha	Yes	19.59	126
Kewaskum High	Kewaskum	No	19.58	161
Northwood High/Middle	Northwood	Yes	19.55	29
Juda High	Juda	No	19.54	37
Sauk Prairie High	Sauk Prairie	No	19.53	218
Clear Lake High	Clear Lake	No	19.52	48
Southwest High	Green Bay Area Public	No	19.51	296
Viroqua High	Viroqua Area	No	19.51	63
Shiocton High	Shiocton	No	19.5	44
Blair-Taylor Middle/High	Blair-Taylor	No	19.48	43
Pecatonica High	Pecatonica Area	No	19.46	26
Westfield Area High	Westfield	No	19.46	54
New London High	New London	No	19.45	168
Amherst High	Tomorrow River	No	19.45	73
Fond du Lac High	Fond du Lac	No	19.44	464
Indian Trail High School and Academy	Kenosha	No	19.44	495
Somerset High	Somerset	No	19.44	100
Whitewater High	Whitewater Unified	No	19.43	144
Luxemburg-Casco High	Luxemburg-Casco	No	19.41	141
School of Options & Applied Research High	Northland Pines	Yes	19.4	7
Nekoosa High	Nekoosa	No	19.4	85
Luck High	Luck	No	19.39	29
Oconto High	Oconto Unified	No	19.39	56
Wisconsin Connections Academy	Appleton Area	Yes	19.38	64
Wisconsin Virtual Learning	Northern Ozaukee	Yes	19.38	35
John Edwards High	Port Edwards	No	19.36	28
Colfax High	Colfax	No	19.36	73
Harborside Academy	Kenosha	Yes	19.33	104
Seymour High	Seymour Community	No	19.33	167
Elkhorn Options Virtual School	Elkhorn Area	Yes	19.33	6
Craig High	Janesville	No	19.33	349
Tomahawk High	Tomahawk	No	19.33	94
Argyle High	Argyle	No	19.32	28
Rural Virtual Academy	Medford Area Public	Yes	19.3	45
Stockbridge High	Stockbridge	No	19.29	14
West High	Wausau	No	19.29	281
Superior High	Superior	No	19.28	273
Washburn High	Washburn	No	19.28	32
North High	Eau Claire Area	No	19.27	322
Altoona High	Altoona	No	19.24	100
Tri-County High	Tri-County Area	No	19.24	33
Campbellsport High	Campbellsport	No	19.24	114
Columbus High	Columbus	No	19.24	96
Kewaunee High	Kewaunee	No	19.23	80
Ashland High	Ashland	No	19.23	153
Reedsburg Area High	Reedsburg	No	19.22	237
Central High	La Crosse	No	19.22	231
Merrill High	Merrill Area	No	19.22	197
Eleva-Strum High	Eleva-Strum	No	19.21	43
Thorp High	Thorp	No	19.21	47
South Milwaukee High	South Milwaukee	No	19.2	264
Marion High	Marion	No	19.18	23
Watertown High	Watertown Unified	No	19.18	315
Kickapoo High	Kickapoo Area	No	19.17	31
Grantsburg High	Grantsburg	No	19.16	65
Durand Middle/High	Durand-Arkansaw	No	19.15	53
Athens High	Athens	No	19.15	48
Rio Middle/High	Rio Community	No	19.15	27
Ripon High	Ripon Area	No	19.14	121
Mondovi High	Mondovi	No	19.13	72
North High	Sheboygan Area	No	19.12	364
New Lisbon Junior High/High	New Lisbon	No	19.1	30
Westby High	Westby Area	No	19.1	77
Denmark High	Denmark	No	19.1	108
Rhinelander High	Rhinelander	No	19.08	173
Wildlands Charter School	Augusta	Yes	19.07	15
Bonduel High	Bonduel	No	19.06	74
Sparta High	Sparta Area	No	19.06	165
Waterloo High	Waterloo	No	19.05	56
Evansville High	Evansville Community	No	19.05	133
Parkview High	Parkview	No	19.04	54
Mishicot High	Mishicot	No	19.04	50
Fort Atkinson High	Fort Atkinson	No	19.01	211
Butternut High	Butternut	No	19	10
Kiel High	Kiel Area	No	18.99	107
Almond-Bancroft High	Almond-Bancroft	No	18.97	31
Wittenberg-Birnamwood High	Wittenberg-Birnamwood	No	18.96	77
Seneca High	Seneca Area	No	18.95	20
Clayton High	Clayton	No	18.95	25
North High	Oshkosh Area	No	18.91	284
South Shore Jr/Sr High	South Shore	No	18.89	18
Lomira High	Lomira	No	18.89	84
Two Rivers High	Two Rivers Public	No	18.88	103
Bloomer High	Bloomer	No	18.87	99
Shawano High	Shawano	No	18.87	178
East High	Madison Metropolitan	No	18.85	347
Shell Lake Junior/Senior High	Shell Lake	No	18.84	44
Elcho High	Elcho	No	18.83	19
Enrich Excel Achieve Learning Academy	Wausau	Yes	18.82	11
Cashton Middle/High	Cashton	No	18.82	51
